PSTL,STD
2.9222,2.1631
3.086,2.161
2.2225,2.331
2.1224,1.9434
2.8286,2.2631
2.7154,2.1616
6.9813,1.6495
2.7317,2.8077
2.3797,2.2252
2.9182,2.6332
2.2057,3.5677
2.306,2.4307
5.8489,3.1157
4.2882,6.2781
2.5362,2.4273
6.1146,7.9987
2.5451,2.6167
3.2781,3.4475
2.6363,2.7264
8.7012,2.7756
3.4276,2.6757
3.9487,2.8811
3.7568,3.2056
4.4566,5.9149
3.2056,4.1279
2.6236,3.6497
3.6455,2.0066
3.2977,4.2858
3.0085,2.7237
2.3463,2.2382
2.147,4.2645
2.5395,2.0064
1.9188,3.2264
4.7895,2.7115
2.2327,2.2505
2.8318,2.0255
2.1621,3.581
2.9463,2.097
2.289,2.188
2.5735,3.543
2.8608,3.7783
2.3701,2.6558
3.5946,2.5003
2.7159,1.9201
2.4695,2.7206
4.0308,3.1825
2.9484,2.7132
8.7733,2.0409
2.3339,2.4093
2.1279,2.6602
2.7787,2.4824
4.0713,4.0535
2.9166,2.4575
3.1403,2.6984
2.8125,5.1762
3.2948,2.013
2.7079,2.0171
1.7756,3.202
3.9345,2.2336
3.1949,1.9582
2.1474,2.0121
2.3174,2.0057
2.7096,2.8396
2.9865,2.1953
1.9345,2.1283
2.6854,2.0885
1.9163,1.8108
2.319,2.446
2.3913,2.0848
2.4379,2.2202
2.2728,1.9223
2.1663,2.0347
2.1444,2.7163
2.1384,2.0894
2.1856,2.6677
7.8844,1.8037
5.3793,3.063
2.6336,2.4052
2.8212,2.4833
2.1314,2.161
2.7058,2.3368
3.4681,1.8367
2.3119,2.4894
8.8001,2.1824
7.2213,2.3031
2.7728,2.4455
2.4298,2.1359
2.181,2.0223
2.3608,1.9944
3.2639,2.4955
2.9868,2.3972
2.2038,2.0633
2.2721,2.0447
2.4773,2.939
3.0187,2.4214
2.3372,1.8327
2.3992,2.1523
1.8996,2.2199
2.2797,2.2535
2.712,2.5684
2.4834,2.0112
2.2752,2.1042
2.7646,2.4067
1.9791,2.0922
2.3492,2.1891
2.4145,1.9869
2.0136,2.0931
2.5692,2.1651
2.4028,2.6083
2.9704,2.5966
3.1946,3.6032
2.2963,2.5494
2.9272,2.7476
2.7613,2.606
3.2805,2.3342
2.5266,2.1389
3.229,2.2396
2.7459,2.9206
2.4851,4.1989
3.34,2.5912
3.1686,4.9335
2.4848,2.3161
2.4346,2.4262
3.009,2.8651
2.3463,2.3519
2.883,2.3203
2.6497,2.5803
2.476,2.4362
2.6318,2.4823
2.5274,2.384
3.534,2.5989
3.3494,3.1419
3.7125,3.647
3.1018,2.71
2.6214,3.2518
2.2516,1.9987
3.1229,2.4467
2.3724,2.6287
2.577,2.5985
3.811,2.4588
2.7788,2.3504
3.423,2.3565
2.6353,3.8168
2.6686,2.688
2.9161,2.9521
3.1982,2.9953
2.6411,2.577
5.0525,2.2419
2.6067,2.7565
2.6785,2.8318
3.3145,3.0113
2.5169,2.9573
2.5091,3.0206
3.0711,2.9899
2.1808,2.3571
2.6041,2.448
4.0823,3.6405
6.1933,2.2113
2.2907,2.2639
2.6568,2.2739
3.1516,3.4996
2.6866,3.4412
4.0531,2.9278
3.5178,2.9396
3.1748,2.8675
6.0049,3.9797
8.0403,2.6316
5.8001,3.5148
9.0682,3.9133
13.1154,2.729
9.6437,3.484
3.5148,3.8908
8.7852,2.7485
3.5151,3.4251
3.3179,3.0153
2.8485,2.4814
2.835,3.381
3.6636,4.3079
5.7034,2.5668
5.1706,2.5186
2.6616,2.5968
2.5271,2.7861
2.9292,3.0627
2.9768,3.4035
3.0332,2.3684
2.5888,2.1495
2.7547,2.8065
2.9573,3.0055
2.8788,2.7552
2.8436,2.6434
2.7908,2.9246
3.4063,3.1556
3.4994,3.2223
3.1291,2.6626
3.4364,2.2976
3.8957,3.6806
2.9874,2.4972
6.2347,2.4096
7.8877,2.4268
9.1,2.1965
3.4089,3.1562
3.623,4.9134
4.8082,2.9585
10.5807,2.5695
3.5919,2.8747
8.7758,1.9576
3.365,3.5538
9.1573,2.0443
2.9887,3.238
3.5596,2.2759
2.9725,3.0841
2.333,2.3688
5.3948,3.2151
3.215,4.1322
9.9056,3.7377
2.8253,2.5354
5.9073,2.7194
6.9786,5.3667
5.4784,5.4112
6.37,2.6111
3.1015,3.6128
2.7082,2.8729
3.5257,3.3159
2.7101,3.3754
2.3373,2.137
3.0312,3.057
3.1464,2.5182
3.3518,2.5502
3.1062,2.5535
8.2565,2.7463
7.6084,2.174
2.9739,2.5793
3.5076,2.2885
6.7274,2.1829
6.6605,2.1549
3.4987,2.9237
2.9144,2.4214
3.7155,3.6311
4.033,3.3938
6.1142,3.2496
2.7032,2.7614
3.152,2.995
3.4978,5.8296
9.5615,7.2667
4.549,3.088
2.9557,2.7342
2.6928,2.5531
3.365,2.3507
3.4473,7.9679
3.646,9.8033
3.6798,11.1025
4.6903,5.7289
2.532,12.8118
3.117,8.2041
5.4761,7.7838
4.6388,5.8406
2.9689,9.5661
3.5924,11.155
2.5675,7.7436
2.9267,7.9949
