PSTL,STD
3.0975,2.1531
2.667,1.7132
2.1192,1.9057
2.4056,2.0241
1.8988,1.8122
2.9704,2.6493
2.3419,1.9589
1.9693,1.6988
2.1681,1.9763
5.8345,1.5907
2.2254,2.062
2.6145,2.2451
2.2247,2.0339
2.3171,2.0246
2.373,2.2106
6.1188,1.6325
6.0889,1.5209
2.5021,2.1043
2.0451,1.5936
2.1847,2.0817
1.8333,1.838
2.3954,2.4317
1.993,1.9305
2.4991,2.2258
2.4546,2.2367
2.3879,1.6983
2.15,2.0464
2.3399,2.0635
1.8928,1.9739
2.3702,1.8702
1.9695,1.9391
2.3489,2.0591
2.7929,3.1376
3.1953,10.1921
2.0079,4.2664
2.1879,6.4889
2.4042,5.6343
1.8681,6.3392
2.2012,6.0795
2.0257,6.987
2.1514,6.2642
2.0669,4.4507
2.4978,5.7222
2.3468,7.6452
2.6527,6.0257
2.3116,2.239
2.7936,2.1183
2.521,2.313
2.4761,2.0483
2.6444,2.3211
2.3001,2.1144
2.6135,2.5872
1.9699,1.9987
3.4907,6.3752
2.8838,7.9922
3.0274,6.6466
2.2559,2.2411
2.647,2.4537
3.2402,1.9953
8.1363,1.6132
2.6689,2.3912
5.2787,2.2828
3.3384,3.834
3.1157,2.3765
2.893,2.9854
4.0874,6.1325
3.7699,5.5157
2.9133,4.2712
2.8074,6.2548
2.2023,6.9624
1.959,6.3342
2.3074,5.8453
1.8987,1.9924
2.5567,2.4776
2.3085,2.0227
2.3825,2.0989
2.3919,2.0778
2.2909,2.1713
2.4095,2.0568
2.5242,2.3848
2.6816,1.8069
3.216,2.959
2.7262,2.4655
6.1728,2.1134
2.3269,3.548
2.9276,2.8333
2.6958,2.1929
6.452,1.5869
7.263,1.953
1.8589,2.2891
2.1698,2.8582
2.9835,2.4425
2.6599,2.0964
2.2604,2.0779
2.3265,3.6589
2.2973,2.0095
2.4306,2.0042
2.3663,2.9573
3.0533,2.0297
3.0309,2.2039
2.4361,2.9434
1.8728,3.2639
2.9041,2.6607
5.8848,1.7302
2.1344,2.035
2.6991,4.1953
2.4119,6.8944
2.3534,10.8849
1.9904,6.0651
3.9088,2.3276
3.2117,2.3665
3.5751,1.8922
9.0035,1.7649
3.6845,2.9023
2.7544,2.4831
3.9328,2.722
2.6002,2.7947
3.1154,2.3177
4.1809,4.1651
2.8928,3.7488
3.5386,2.5256
2.9628,2.8556
2.6363,2.7409
3.2314,3.0686
2.4151,3.7564
4.1759,3.1664
3.0029,1.6562
